Specimen_ID,Species Common Name,Species Scientific Name,Length (cm),Length Type,Original_Length_Units,Weight (kg),Weight Type,Original_Weight_Units,Sex,Maturity,Maturity_Info,Alternate_Specimen_ID
186,Pacific Sleeper Shark,Somniosus pacificus,136,Precaudal Length,centimeters,19.56,Total,kilograms,M,,,1006829
187,Pacific Sleeper Shark,Somniosus pacificus,83,Precaudal Length,centimeters,9.96,Total,kilograms,F,,,1006830
188,Pacific Sleeper Shark,Somniosus pacificus,95,Precaudal Length,centimeters,12.28,Total,kilograms,F,,,1001165
189,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,8011/1001363
190,Pacific Sleeper Shark,Somniosus pacificus,265,Precaudal Length,centimeters,,,,F,,,Sunshine Cove
191,Pacific Sleeper Shark,Somniosus pacificus,350,Precaudal Length,centimeters,,,,F,,,RACEAI
192,Pacific Sleeper Shark,Somniosus pacificus,284,Precaudal Length,centimeters,565,Total,kilograms,F,,,EM2_10
193,Pacific Sleeper Shark,Somniosus pacificus,239,Precaudal Length,centimeters,346,Total,kilograms,F,,,EM2_12
194,Pacific Sleeper Shark,Somniosus pacificus,287,Precaudal Length,centimeters,474,Total,kilograms,F,,,EM1_6
195,Pacific Sleeper Shark,Somniosus pacificus,263,Precaudal Length,centimeters,394,Total,kilograms,M,,,EM1_1
196,Pacific Sleeper Shark,Somniosus pacificus,285,Precaudal Length,centimeters,,,,M,,,EM1_4
197,Pacific Sleeper Shark,Somniosus pacificus,290,Precaudal Length,centimeters,,,,F,,,EM2_9
198,Pacific Sleeper Shark,Somniosus pacificus,253,Precaudal Length,centimeters,266,Total,kilograms,F,,,EM2_1
199,Pacific Sleeper Shark,Somniosus pacificus,280,Precaudal Length,centimeters,,,,F,,,EM2_8
200,Pacific Sleeper Shark,Somniosus pacificus,246,Precaudal Length,centimeters,,,,M,,,EM2_2
201,Pacific Sleeper Shark,Somniosus pacificus,220,Precaudal Length,centimeters,,,,F,,,EM3_1
202,Pacific Sleeper Shark,Somniosus pacificus,242,Precaudal Length,centimeters,,,,F,,,EM3_2
203,Pacific Sleeper Shark,Somniosus pacificus,228,Precaudal Length,centimeters,,,,M,,,EM3_3
204,Pacific Sleeper Shark,Somniosus pacificus,287,Precaudal Length,centimeters,,,,M,,,EM3_4
205,Pacific Sleeper Shark,Somniosus pacificus,283,Precaudal Length,centimeters,,,,M,,,EM3_5
206,Pacific Sleeper Shark,Somniosus pacificus,235,Precaudal Length,centimeters,,,,M,,,EM3_6
207,Pacific Sleeper Shark,Somniosus pacificus,236,Precaudal Length,centimeters,,,,M,,,EM3_7
208,Pacific Sleeper Shark,Somniosus pacificus,271,Precaudal Length,centimeters,,,,M,,,EM3_8
209,Pacific Sleeper Shark,Somniosus pacificus,276,Precaudal Length,centimeters,,,,F,,,EM3_9
210,Pacific Sleeper Shark,Somniosus pacificus,255,Precaudal Length,centimeters,,,,F,,,EM3_10
211,Pacific Sleeper Shark,Somniosus pacificus,251,Precaudal Length,centimeters,,,,M,,,EM3_11
212,Pacific Sleeper Shark,Somniosus pacificus,315,Precaudal Length,centimeters,,,,M,,,EM3_12
213,Pacific Sleeper Shark,Somniosus pacificus,275,Precaudal Length,centimeters,,,,F,,,EM4_1
214,Pacific Sleeper Shark,Somniosus pacificus,229,Precaudal Length,centimeters,,,,M,,,EM4_2
215,Pacific Sleeper Shark,Somniosus pacificus,298,Precaudal Length,centimeters,,,,F,,,EM4_4
216,Pacific Sleeper Shark,Somniosus pacificus,287,Precaudal Length,centimeters,,,,M,,,EM4_5
217,Pacific Sleeper Shark,Somniosus pacificus,249,Precaudal Length,centimeters,,,,F,,,EM4_6
218,Pacific Sleeper Shark,Somniosus pacificus,254,Precaudal Length,centimeters,,,,M,,,EM4_7
219,Pacific Sleeper Shark,Somniosus pacificus,248,Precaudal Length,centimeters,,,,M,,,EM4_8
220,Spiny Dogfish,Squalus suckleyi,30.8,Total Length,centimeters,0.08,Total,kilograms,F,,,ME2301CPA
221,Pacific Sleeper Shark,Somniosus pacificus,266,Precaudal Length,centimeters,388,Total,kilograms,M,,,EM1_2_8_25_22
222,Sixgill Shark,Hexanchus griseus,113,Precaudal Length,centimeters,,,,F,,,6-gill
223,Pacific Sleeper Shark,Somniosus pacificus,96,Precaudal Length,centimeters,8.34,Total,kilograms,M,,,PSS19_AKSRG
224,Pacific Sleeper Shark,Somniosus pacificus,94,Precaudal Length,centimeters,10.96,Total,kilograms,F,,,PSS51_AKSRG
225,Pacific Sleeper Shark,Somniosus pacificus,67,Precaudal Length,centimeters,2.6,Total,kilograms,F,,,PSS18_AKSRG
226,Pacific Sleeper Shark,Somniosus pacificus,104,Precaudal Length,centimeters,10.42,Total,kilograms,M,,,PSS25_AKSRG
227,Pacific Sleeper Shark,Somniosus pacificus,83,Precaudal Length,centimeters,8.98,Total,kilograms,F,,,PSS20_AKSRG
228,Pacific Sleeper Shark,Somniosus pacificus,52,Precaudal Length,centimeters,1.38,Total,kilograms,M,,,PSS14_AKSRG
229,Pacific Sleeper Shark,Somniosus pacificus,96,Precaudal Length,centimeters,8.34,Total,kilograms,M,,,PSS19_AKSRG
230,Pacific Sleeper Shark,Somniosus pacificus,85,Precaudal Length,centimeters,5.72,Total,kilograms,M,,,PSS46_AKSRG
231,Spiny Dogfish,Squalus suckleyi,,,,,,,,,,DF16_LLS
232,Spiny Dogfish,Squalus suckleyi,,,,,,,,,,DF13_LLS
233,Spiny Dogfish,Squalus suckleyi,,,,,,,,,,DF15_LLS
234,Spiny Dogfish,Squalus suckleyi,,,,,,,,,,DF14_LLS
235,Pacific Sleeper Shark,Somniosus pacificus,87,Precaudal Length,centimeters,5.52,Total,kilograms,M,,,PSS47_AKSRG
236,Pacific Sleeper Shark,Somniosus pacificus,94,Precaudal Length,centimeters,8.84,Total,kilograms,F,,,PSS52_AKSRG
237,Pacific Sleeper Shark,Somniosus pacificus,84,Precaudal Length,centimeters,5.5,Total,kilograms,F,,,PSS48_AKSRG
238,Pacific Sleeper Shark,Somniosus pacificus,67,Precaudal Length,centimeters,3.98,Total,kilograms,M,,,PSS49_AKSRG
239,Pacific Sleeper Shark,Somniosus pacificus,79,Precaudal Length,centimeters,,,,F,,,PSS37_AKSRG
240,Pacific Sleeper Shark,Somniosus pacificus,98,Precaudal Length,centimeters,12.08,Total,kilograms,M,,,PSS13_AKSRG
241,Pacific Sleeper Shark,Somniosus pacificus,89,Precaudal Length,centimeters,9.64,Total,kilograms,F,,,PSS23_AKSRG
242,Pacific Sleeper Shark,Somniosus pacificus,97,Precaudal Length,centimeters,9.14,Total,kilograms,M,,,PSS50_AKSRG
243,Pacific Sleeper Shark,Somniosus pacificus,100,Precaudal Length,centimeters,,,,F,,,PSS40_AKSRG
244,Pacific Sleeper Shark,Somniosus pacificus,89,Precaudal Length,centimeters,5.54,Total,kilograms,F,,,PSS12_AKSRG
245,Pacific Sleeper Shark,Somniosus pacificus,85,Precaudal Length,centimeters,8.42,Total,kilograms,F,,,PSS34_AKSRG
246,Pacific Sleeper Shark,Somniosus pacificus,84,Precaudal Length,centimeters,8.74,Total,kilograms,F,,,PSS44_AKSRG
247,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,F,,,PSS32_AKSRG
248,Pacific Sleeper Shark,Somniosus pacificus,101,Precaudal Length,centimeters,6.9,Total,kilograms,F,,,PSS41_AKSRG
249,Pacific Sleeper Shark,Somniosus pacificus,91,Precaudal Length,centimeters,6.3,Total,kilograms,F,,,PSS42_AKSRG
250,Pacific Sleeper Shark,Somniosus pacificus,87,Precaudal Length,centimeters,8.96,Total,kilograms,M,,,PSS45_AKSRG
251,Pacific Sleeper Shark,Somniosus pacificus,96,Precaudal Length,centimeters,11.28,Total,kilograms,F,,,PSS24_AKSRG
252,Pacific Sleeper Shark,Somniosus pacificus,81,Precaudal Length,centimeters,5.54,Total,kilograms,F,,,PSS33_AKSRG
253,Pacific Sleeper Shark,Somniosus pacificus,88,Precaudal Length,centimeters,5.2,Total,kilograms,F,,,PSS15_AKSRG
254,Pacific Sleeper Shark,Somniosus pacificus,93,Precaudal Length,centimeters,12.14,Total,kilograms,M,,,PSS43_AKSRG
255,Pacific Sleeper Shark,Somniosus pacificus,127,Precaudal Length,centimeters,24.52,Total,kilograms,F,,,PSS39_AKSRG
256,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,99506_2
257,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,99508_3
258,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,200601_5_1
259,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,vessel94
260,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,99509_9
261,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,995_11
262,Pacific Sleeper Shark,Somniosus pacificus,101,Total Length(?),centimeters,14.93,Total,kilograms,F,,,SeaEnt9_29_18
263,Pacific Sleeper Shark,Somniosus pacificus,,,,15.51,Total,kilograms,,,,SeaEnt5_28_18
264,Pacific Sleeper Shark,Somniosus pacificus,180,Precaudal Length,centimeters,44.04,Total,kilograms,M,,,SeaEnt_VG
265,Pacific Sleeper Shark,Somniosus pacificus,151,Total Length(?),centimeters,57.32,Total,kilograms,F,,,SeaEnt10_12_18
266,Pacific Sleeper Shark,Somniosus pacificus,100,Precaudal Length,centimeters,,,,M,,,PGlac9_29_18
267,Pacific Sleeper Shark,Somniosus pacificus,420,Total Length(?),centimeters,750,Total,kilograms,F,,,IsEnt6_9_18
268,Pacific Sleeper Shark,Somniosus pacificus,122,Total Length(?),centimeters,31.9,Total,kilograms,M,,,IsEnt5_22_18
269,Pacific Sleeper Shark,Somniosus pacificus,86,Total Length(?),centimeters,14.86,Total,kilograms,F,,,IsEnt5_21_18
270,Pacific Sleeper Shark,Somniosus pacificus,89,Total Length(?),centimeters,8.96,Total,kilograms,M,,,IsEnt5_19_18
271,Pacific Sleeper Shark,Somniosus pacificus,93,Total Length(?),centimeters,8.72,Total,kilograms,M,,,IsEnt5_19_18SO
272,Pacific Sleeper Shark,Somniosus pacificus,100,Total Length(?),centimeters,18.61,Total,kilograms,M,,,IsEnt5_23_18
273,Pacific Sleeper Shark,Somniosus pacificus,133,Total Length(?),centimeters,42.9,Total,kilograms,M,,,IsEnt5_26_18
274,Pacific Sleeper Shark,Somniosus pacificus,97,Total Length(?),centimeters,10.92,Total,kilograms,M,,,IsEnt5_22_18SO
275,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,AmDyn5_26_18
276,Pacific Sleeper Shark,Somniosus pacificus,104,Total Length(?),centimeters,15.61,Total,kilograms,M,,,AmDyn_AD
277,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,AmDyn_5_26_18b
278,Pacific Sleeper Shark,Somniosus pacificus,65,Total Length(?),centimeters,4.82,Total,kilograms,M,,,AmDyn_6_24_18
279,Pacific Sleeper Shark,Somniosus pacificus,103,Total Length(?),centimeters,14.08,Total,kilograms,F,,,AmDyn_6_29_18
280,Pacific Sleeper Shark,Somniosus pacificus,96,Total Length(?),centimeters,12.16,Total,kilograms,,,,AmDyn_6_27_18
281,Pacific Sleeper Shark,Somniosus pacificus,91,Total Length(?),centimeters,9.65,Total,kilograms,M,,,AmDyn_6_25_18
282,Pacific Sleeper Shark,Somniosus pacificus,155,Total Length(?),centimeters,,,,,,,AmDyn_5_26_18c
283,Pacific Sleeper Shark,Somniosus pacificus,92,Total Length(?),centimeters,10.65,Total,kilograms,M,,,AmDyn_6_25_18b
284,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,AmDyn_5_26_18d
285,Pacific Sleeper Shark,Somniosus pacificus,129,Total Length(?),centimeters,19.95,Total,kilograms,M,,,AmDyn_6_22_18
286,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,AmDyn_6_21_18
287,Pacific Sleeper Shark,Somniosus pacificus,160,Total Length(?),centimeters,47.5,Total, kilograms,M,,,AmDyn_6_23_18
288,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,AmDyn_5_25_18
289,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,AmDyn_5_25_18b
290,Pacific Sleeper Shark,Somniosus pacificus,169,Total Length(?),centimeters,49.2,Total, kilograms,F,,,AmDyn_6_23_18b
291,Pacific Sleeper Shark,Somniosus pacificus,103,Total Length(?),centimeters,14.1,Total, kilograms,F,,,AmDyn_6_22_18b
292,Pacific Sleeper Shark,Somniosus pacificus,129,Total Length(?),centimeters,19.86,Total, kilograms,F,,,AmDyn_AF
293,Pacific Sleeper Shark,Somniosus pacificus,119,Total Length(?),centimeters,,,,F,,,KodEnt_11_3_18
294,Pacific Sleeper Shark,Somniosus pacificus,63,Total Length(?),centimeters,3.88,Total,kilograms,F,,,KodEnt_11_6_18
295,Pacific Sleeper Shark,Somniosus pacificus,165,Total Length(?),centimeters,25.44,Total,kilograms,F,,,KodEnt_5_22_18
296,Pacific Sleeper Shark,Somniosus pacificus,140,Total Length(?),centimeters,60.9,Total,kilograms,F,,,KodEnt_5_23_18
297,Pacific Sleeper Shark,Somniosus pacificus,151,Total Length(?),centimeters,56.94,Total,kilograms,F,,,KodEnt_5_24_18
